student_id,age,gender,programme,attendance_pct,assignment_avg,quiz_avg,midterm_score,study_hours_week,previous_gpa,absences,internet_access,extracurricular,academic_risk
ST07173,20,Male,Software Engineering,72.2,49.0,71.2,81.6,11.1,3.48,3.0,Yes,Yes,Not At Risk
ST01210,25,Female,IT,75.4,66.0,76.4,56.2,3.6,3.49,,Yes,No,At Risk
ST11561,24,Female,Computer Science,100.0,53.6,94.6,68.5,5.5,2.98,2.0,Yes,Yes,Not At Risk
ST05074,24,Male,Computer Science,72.4,100.0,65.5,78.0,6.5,3.05,7.0,Yes,Yes,Not At Risk
ST05558,21,Male,Computer Science,78.7,78.5,72.4,89.0,6.3,2.76,4.0,Yes,Yes,Not At Risk
ST01148,21,Female,IT,72.3,65.5,69.5,68.8,2.1,2.0,4.0,Yes,No,Not At Risk
ST00054,25,Female,Computer Science,78.7,69.5,50.8,46.5,3.8,4.0,2.0,No,No,At Risk
ST08638,23,Male,Computer Science,92.6,74.0,76.3,64.7,8.4,2.44,3.0,Yes,No,Not At Risk
ST00902,25,Male,Computer Science,82.7,59.2,89.6,78.2,7.5,2.79,4.0,No,Yes,Not At Risk
ST06146,20,Female,Data Science,85.4,49.3,59.5,64.2,7.8,2.54,2.0,Yes,Yes,Not At Risk
ST07822,23,Female,Software Engineering,78.0,58.7,61.0,55.6,1.5,2.2,6.0,Yes,Yes,At Risk
ST07194,22,Female,Computer Science,69.0,65.6,70.6,83.8,1.3,3.6,7.0,Yes,No,Not At Risk
ST00055,18,Male,Software Engineering,73.7,41.9,50.2,84.5,10.4,1.57,2.0,Yes,No,Not At Risk
ST11803,20,Male,Software Engineering,80.4,95.5,71.0,85.2,6.5,2.57,4.0,Yes,Yes,Not At Risk
ST11896,18,Female,IT,64.9,57.6,50.1,77.2,6.0,3.05,6.0,Yes,No,Not At Risk
ST02668,21,Male,Computer Science,90.5,91.1,69.5,81.5,12.3,2.34,5.0,Yes,No,Not At Risk
ST04506,22,Male,Software Engineering,77.9,60.7,100.0,84.3,10.7,2.78,3.0,Yes,No,Not At Risk
ST04253,24,Male,Computer Science,76.2,66.2,47.1,88.7,4.9,3.56,4.0,Yes,Yes,Not At Risk
ST01881,24,Female,Computer Science,54.8,50.5,66.1,60.3,8.2,3.28,3.0,Yes,Yes,At Risk
ST04754,19,Male,Data Science,74.9,66.9,58.6,77.2,7.5,3.12,4.0,Yes,Yes,At Risk
ST01119,23,Male,Software Engineering,66.1,51.6,71.5,88.3,1.8,2.91,2.0,Yes,No,Not At Risk
ST07133,22,Male,IT,100.0,69.3,62.1,41.5,5.5,1.62,4.0,Yes,No,Not At Risk
ST03722,22,Female,IT,74.4,77.1,82.2,41.9,7.2,2.62,1.0,Yes,No,At Risk
ST11929,24,Female,Software Engineering,69.3,78.0,71.0,46.3,14.3,2.8,4.0,Yes,No,At Risk
ST08814,20,Male,IT,75.1,70.5,55.9,54.7,6.9,2.76,1.0,Yes,Yes,Not At Risk
ST01109,19,Male,,80.4,91.8,64.3,75.1,2.1,3.58,2.0,No,No,Not At Risk
ST03059,23,Male,Computer Science,83.8,100.0,67.7,66.7,8.8,2.54,3.0,Yes,No,Not At Risk
ST09758,22,Female,Computer Science,93.3,70.9,81.8,45.0,4.8,2.24,5.0,Yes,No,Not At Risk
ST03989,23,Male,Software Engineering,74.9,73.6,68.4,85.7,1.9,1.84,5.0,Yes,No,Not At Risk
ST08663,21,Male,IT,72.1,98.6,79.4,52.7,2.3,3.52,7.0,Yes,Yes,At Risk
ST10975,19,Male,Software Engineering,71.6,59.8,83.7,54.8,2.9,3.13,7.0,Yes,Yes,Not At Risk
ST09679,23,Female,Software Engineering,94.4,85.6,55.2,67.3,9.6,3.0,3.0,Yes,No,Not At Risk
ST04473,18,Male,Software Engineering,73.1,55.9,62.9,74.8,7.9,2.57,7.0,Yes,No,Not At Risk
ST10042,19,Male,Data Science,73.3,52.5,46.9,38.6,9.7,2.72,3.0,Yes,No,At Risk
ST00940,23,Female,Computer Science,85.1,96.8,51.1,57.7,3.1,2.64,6.0,Yes,Yes,Not At Risk
ST09293,23,Female,Software Engineering,92.9,64.9,67.1,46.6,5.1,2.9,6.0,Yes,No,Not At Risk
ST00613,20,female,Computer Science,85.8,74.4,67.4,78.6,2.6,2.56,4.0,Yes,No,Not At Risk
